date,regime,prob_RANGING,prob_TREND,prob_HIGH_VOL
2026-05-15,RANGING,0.999999992778612,7.219773925820127e-09,6.606465359957783e-15
2026-05-18,RANGING,0.9999999919200492,8.080654008629186e-09,1.353695133835553e-15
2026-05-19,RANGING,0.9999999964711606,3.5285440359696436e-09,1.12065817318389e-15
2026-05-20,RANGING,0.9999999953106452,4.687109037480821e-09,2.870889385653897e-12
2026-05-21,RANGING,0.9999998542553036,6.962325766144658e-08,7.612226836281211e-08
